Name,RuleId,ExtraId,Control Name,Registry Key,Registry Value,Registry Value Type,CSP Name,CSP Path,CSP Value Type,Default Value,Allowed Value,Expected Value,Severity,Applicability,Scenario,Validation,Category
ASRBlockOfficeFromCreatingExecutableContent,,,Block Office applications from creating executable content,HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\Rules,3b576869-a4ec-4529-8536-b80a7769e899,REG_DWORD,,,,0,"Range(0, 2)",Equals(0),Informational,Azure Local Member Server (domain joined),Microsoft Defeder AV,"Run Get-ItemProperty ""HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\Rules"" -Name ""3b576869-a4ec-4529-8536-b80a7769e899""",Registry
ASRBlockOfficeFromInjectingCodeIntoProcesses,,,Block Office applications from injecting code into other processes,HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\Rules,75668c1f-73b5-4cf0-bb93-3ecf5cb7cc84,REG_DWORD,,,,0,"Range(0, 2)",Equals(0),Informational,Azure Local Member Server (domain joined),Microsoft Defeder AV,"Run Get-ItemProperty ""HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\Rules"" -Name ""75668c1f-73b5-4cf0-bb93-3ecf5cb7cc84""",Registry
ASRBlockPersistenceThroughWMIEventSubscription,,,Block persistence through WMI event subscription (File and folder exclusions not supported),HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\Rules,e6db77e5-3df2-4cf1-b95a-636979351e5b,REG_DWORD,,,,2,"Range(0, 2)",Equals(2),Important,Azure Local Member Server (domain joined),Microsoft Defeder AV,"Run Get-ItemProperty ""HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\Rules"" -Name ""e6db77e5-3df2-4cf1-b95a-636979351e5b""",Registry
ASRBlockPotentiallyObfuscatedScripts,,,Block execution of potentially obfuscated scripts,HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\Rules,5beb7efe-fd9a-4556-801d-275e5ffc04cc,REG_DWORD,,,,1,"Range(0, 2)",Equals(1),Critical,Azure Local Member Server (domain joined),Microsoft Defeder AV,"Run Get-ItemProperty ""HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\Rules"" -Name ""5beb7efe-fd9a-4556-801d-275e5ffc04cc""",Registry
ASRBlockProcessCreationFromPSExecAndWMICommands,,,Block process creations originating from PSExec and WMI commands,HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\Rules,d1e49aac-8f56-4280-b9ba-993a6d77406c,REG_DWORD,,,,2,"Range(0, 2)",Equals(2),Important,Azure Local Member Server (domain joined),Microsoft Defeder AV,"Run Get-ItemProperty ""HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\Rules"" -Name ""d1e49aac-8f56-4280-b9ba-993a6d77406c""",Registry
ASRBlockRebootingMachineInSafeMode,,,Block rebooting machine in Safe Mode (preview),HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\Rules,33ddedf1-c6e0-47cb-833e-de6133960387,REG_DWORD,,,,2,"Range(0, 2)",Equals(2),Important,Azure Local Member Server (domain joined),Microsoft Defeder AV,"Run Get-ItemProperty ""HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\Rules"" -Name ""33ddedf1-c6e0-47cb-833e-de6133960387""",Registry
ASRBlockUntrustedAndUnsignedProcessesRunningFromUSB,,,Block untrusted and unsigned processes that run from USB,HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\Rules,b2b3f03d-6a65-4f7b-a9c7-1c7ef74a9ba4,REG_DWORD,,,,1,"Range(0, 2)",Equals(1),Critical,Azure Local Member Server (domain joined),Microsoft Defeder AV,"Run Get-ItemProperty ""HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\Rules"" -Name ""b2b3f03d-6a65-4f7b-a9c7-1c7ef74a9ba4""",Registry
ASRBlockUseOfCopiedOrImpersonatedSystemTools,,,Block use of copied or impersonated system tools (preview),HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\Rules,c0033c00-d16d-4114-a5a0-dc9b3a7d2ceb,REG_DWORD,,,,2,"Range(0, 2)",Equals(2),Important,Azure Local Member Server (domain joined),Microsoft Defeder AV,"Run Get-ItemProperty ""HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\Rules"" -Name ""c0033c00-d16d-4114-a5a0-dc9b3a7d2ceb""",Registry
ASRBlockWebshellCreationForServers,,,Block Webshell creation for Servers,HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\Rules,a8f5898e-1dc8-49a9-9878-85004b8a61e6,REG_DWORD,,,,1,"Range(0, 2)",Equals(1),Critical,Azure Local Member Server (domain joined),Microsoft Defeder AV,"Run Get-ItemProperty ""HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\Rules"" -Name ""a8f5898e-1dc8-49a9-9878-85004b8a61e6""",Registry
ASRBlockWIN32APIFromOfficeMacros,,,Block Win32 API calls from Office macros,HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\Rules,92e97fa1-2edf-4476-bdd6-9dd0b4dddc7b,REG_DWORD,,,,0,"Range(0, 2)",Equals(0),Informational,Azure Local Member Server (domain joined),Microsoft Defeder AV,"Run Get-ItemProperty ""HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\Rules"" -Name ""92e97fa1-2edf-4476-bdd6-9dd0b4dddc7b""",Registry
ASRUseAdvancedProtectionAgainstRansomware,,,Use advanced protection against ransomware,HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\Rules,c1db55ab-c21a-4637-bb3f-a12568109d35,REG_DWORD,,,,1,"Range(0, 2)",Equals(1),Critical,Azure Local Member Server (domain joined),Microsoft Defeder AV,"Run Get-ItemProperty ""HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\Rules"" -Name ""c1db55ab-c21a-4637-bb3f-a12568109d35""",Registry
AttackSurfaceReductionRules,d2d187ef-0321-4e5e-95aa-ac03f16e6373,AZ-WIN-202205,Configure Attack Surface Reduction rules,HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR,ExploitGuard_ASR_Rules,REG_DWORD,,,,1,"Range(0, 1)",Equals(1),Critical,Azure Local Member Server (domain joined),Microsoft Defeder AV,"Run Get-ItemProperty ""HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR"" -Name ""ExploitGuard_ASR_Rules""",Registry
DisableAntiSpyware,,,Turn off Microsoft Defender AntiVirus,HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender,DisableAntiSpyware,REG_DWORD,,,,0,"Range(0, 1)",Equals(0),Critical,Azure Local Member Server (domain joined),Microsoft Defeder AV,"Run Get-ItemProperty ""HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender"" -Name ""DisableAntiSpyware""",Registry
DisableAutoExclusions,,,Turn off Auto Exclusions,HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Exclusions,DisableAutoExclusions,REG_DWORD,,,,0,"Range(0, 1)",Equals(0),Critical,Azure Local Member Server (domain joined),Microsoft Defeder AV,"Run Get-ItemProperty ""HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Exclusions"" -Name ""DisableAutoExclusions""",Registry
DisableBehaviorMonitoring,,,Turn on behavior monitoring,HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Real-Time Protection,DisableBehaviorMonitoring,REG_DWORD,,,,0,"Range(0, 1)",Equals(0),Critical,Azure Local Member Server (domain joined),Microsoft Defeder AV,"Run Get-ItemProperty ""HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Real-Time Protection"" -Name ""DisableBehaviorMonitoring""",Registry
DisableBlockAtFirstSeen,,,Configure the 'Block at First Sight' feature,HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\SpyNet,DisableBlockAtFirstSeen,REG_DWORD,,,,0,"Range(0, 1)",Equals(0),Critical,Azure Local Member Server (domain joined),Microsoft Defeder AV,"Run Get-ItemProperty ""HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Spynet"" -Name ""DisableBlockAtFirstSeen""",Registry
DisableEmailScanning,,,Turn on e-mail scanning,HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Scan,DisableEmailScanning,REG_DWORD,,,,0,"Range(0, 1)",Equals(0),Critical,Azure Local Member Server (domain joined),Microsoft Defeder AV,"Run Get-ItemProperty ""HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Scan"" -Name ""DisableEmailScanning""",Registry
DisableIOAVProtection,,,Scan all downloaded files and attachments,HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Real-Time Protection,DisableIOAVProtection,REG_DWORD,,,,0,"Range(0, 1)",Equals(0),Critical,Azure Local Member Server (domain joined),Microsoft Defeder AV,"Run Get-ItemProperty ""HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Real-Time Protection"" -Name ""DisableIOAVProtection""",Registry
DisableRealtimeMonitoring,,,Turn off real-time protection,HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Real-Time Protection,DisableRealtimeMonitoring,REG_DWORD,,,,0,"Range(0, 1)",Equals(0),Critical,Azure Local Member Server (domain joined),Microsoft Defeder AV,"Run Get-ItemProperty ""HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Real-Time Protection"" -Name ""DisableRealtimeMonitoring""",Registry
DisableRemovableDriveScanning,,,Scan removable drives,HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Scan,DisableRemovableDriveScanning,REG_DWORD,,,,0,"Range(0, 1)",Equals(0),Critical,Azure Local Member Server (domain joined),Microsoft Defeder AV,"Run Get-ItemProperty ""HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Scan"" -Name ""DisableRemovableDriveScanning""",Registry
DisableRoutinelyTakingAction,,,Turn off routine remediation,HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender,DisableRoutinelyTakingAction,REG_DWORD,,,,0,"Range(0, 1)",Equals(0),Critical,Azure Local Member Server (domain joined),Microsoft Defeder AV,"Run Get-ItemProperty ""HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender"" -Name ""DisableRoutinelyTakingAction""",Registry
DisableScanOnUpdate,,,Turn on scan after security intelligence update,HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Signature Updates,DisableScanOnUpdate,REG_DWORD,,,,0,"Range(0, 1)",Equals(0),Critical,Azure Local Member Server (domain joined),Microsoft Defeder AV,"Run Get-ItemProperty ""HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Signature Updates"" -Name ""DisableScanOnUpdate""",Registry
DisableScriptScanning,,,Turn on script scanning,HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Real-Time Protection,DisableScriptScanning,REG_DWORD,,,,0,"Range(0, 1)",Equals(0),Critical,Azure Local Member Server (domain joined),Microsoft Defeder AV,"Run Get-ItemProperty ""HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Real-Time Protection"" -Name ""DisableScriptScanning""",Registry
DisallowExploitProtectionOverride,,,Prevent users from modifying settings,HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender Security Center\App and Browser protection,DisallowExploitProtectionOverride,REG_DWORD,,,,1,"Range(0, 1)",Equals(1),Critical,Azure Local Member Server (domain joined),Microsoft Defeder AV,"Run Get-ItemProperty ""HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender Security Center\App and Browser protection"" -Name ""DisallowExploitProtectionOverride""",Registry
EnableConvertWarnToBlock,,,Convert warn verdict to block,HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\NIS,EnableConvertWarnToBlock,REG_DWORD,,,,0,"Range(0, 1)",Equals(0),Important,Azure Local Member Server (domain joined),Microsoft Defeder AV,"Run Get-ItemProperty ""HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\NIS"" -Name ""EnableConvertWarnToBlock""",Registry
EngineRing,,,Select the channel for Microsoft Defender monthly engine updates,HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender,EngineRing,REG_DWORD,,,,5,"OneOf(Equals(2),Equals(3),Equals(4),Equals(5),Equals(6))","OneOf(Equals(5),Equals(6))",Critical,Azure Local Member Server (domain joined),Microsoft Defeder AV,"Run Get-ItemProperty ""HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender"" -Name ""EngineRing""",Registry
HideExclusionsFromLocalAdmins,,,Control whether or not exclusions are visible to Local Admins,HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender,HideExclusionsFromLocalAdmins,REG_DWORD,,,,1,"Range(0, 1)",Equals(1),Important,Azure Local Member Server (domain joined),Microsoft Defeder AV,"Run Get-ItemProperty ""HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender"" -Name ""HideExclusionsFromLocalAdmins""",Registry
HideExclusionsFromLocalUsers,,,Control whether exclusions are visible to local users,HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender,HideExclusionsFromLocalUsers,REG_DWORD,,,,1,"Range(0, 1)",Equals(1),Critical,Azure Local Member Server (domain joined),Microsoft Defeder AV,"Run Get-ItemProperty ""HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender"" -Name ""HideExclusionsFromLocalUsers""",Registry
LocalSettingOverrideSpynetReporting,,,Configure local setting override for reporting to Microsoft MAPS,HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\SpyNet,LocalSettingOverrideSpynetReporting,REG_DWORD,,,,0,"Range(0, 1)",Equals(0),Important,Azure Local Member Server (domain joined),Microsoft Defeder AV,"Run Get-ItemProperty ""HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\SpyNet"" -Name ""LocalSettingOverrideSpynetReporting""",Registry
MpCloudBlockLevel,,,Select cloud protection level,HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\MpEngine,MpCloudBlockLevel,REG_DWORD,,,,2,"OneOf(Equals(1),Equals(2),Equals(4),Equals(6))","OneOf(Equals(2),Equals(4),Equals(6))",Critical,Azure Local Member Server (domain joined),Microsoft Defeder AV,"Run Get-ItemProperty ""HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\MpEngine"" -Name ""MpCloudBlockLevel""",Registry
OobeEnableRtpAndSigUpdate,,,Configure real-time protection and Security Intelligence Updates during OOBE,HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Real-Time Protection,OobeEnableRtpAndSigUpdate,REG_DWORD,,,,1,"Range(0, 1)",Equals(1),Critical,Azure Local Member Server (domain joined),Microsoft Defeder AV,"Run Get-ItemProperty ""HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Real-Time Protection"" -Name ""OobeEnableRtpAndSigUpdate""",Registry
PlatformRing,,,Select the channel for Microsoft Defender monthly platform updates,HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender,PlatformRing,REG_DWORD,,,,5,"OneOf(Equals(2),Equals(3),Equals(4),Equals(5),Equals(6))","OneOf(Equals(5),Equals(6))",Critical,Azure Local Member Server (domain joined),Microsoft Defeder AV,"Run Get-ItemProperty ""HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender"" -Name ""PlatformRing""",Registry
PUAProtection,,,Configure detection for potentially unwanted applications,HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender,PUAProtection,REG_DWORD,,,,2,"OneOf(Equals(0),Equals(1),Equals(2))",Equals(2),Critical,Azure Local Member Server (domain joined),Microsoft Defeder AV,"Run Get-ItemProperty ""HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender"" -Name ""PUAProtection""",Registry
QuickScanIncludeExclusions,,,Scan excluded files and directories during quick scans,HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Scan,QuickScanIncludeExclusions,REG_DWORD,,,,1,"Range(0, 1)",Equals(1),Important,Azure Local Member Server (domain joined),Microsoft Defeder AV,"Run Get-ItemProperty ""HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Scan"" -Name ""QuickScanIncludeExclusions""",Registry
SchedulerRandomizationTime,,,Configure scheduled task times randomization window,HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender,SchedulerRandomizationTime,REG_DWORD,,,,4,"Range(0, 23)","Range(1, 4)",Important,Azure Local Member Server (domain joined),Microsoft Defeder AV,"Run Get-ItemProperty ""HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender"" -Name ""SchedulerRandomizationTime""",Registry
SignaturesRing,,,Select the channel for Microsoft Defender daily security intelligence updates,HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender,SignaturesRing,REG_DWORD,,,,5,"OneOf(Equals(4),Equals(5))",Equals(5),Critical,Azure Local Member Server (domain joined),Microsoft Defeder AV,"Run Get-ItemProperty ""HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender"" -Name ""SignaturesRing""",Registry
SpynetReporting,,,Join Microsoft MAPS,HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\SpyNet,SpynetReporting,REG_DWORD,,,,2,"Range(0, 2)",Equals(2),Critical,Azure Local Member Server (domain joined),Microsoft Defeder AV,"Run Get-ItemProperty ""HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Spynet"" -Name ""SpynetReporting""",Registry
SubmitSamplesConsent,,,Send file samples when further analysis is required,HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\SpyNet,SubmitSamplesConsent,REG_DWORD,,,,1,"Range(0, 3)","OneOf(Equals(1),Equals(3))",Critical,Azure Local Member Server (domain joined),Microsoft Defeder AV,"Run Get-ItemProperty ""HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Spynet"" -Name ""SubmitSamplesConsent""",Registry
ConfigureSystemGuardLaunch,61156130-85d1-4609-9cd5-01351a0ca7c3,AZ-WIN-202247,Secured-Core SystemGuard (DRTM),HKLM:\SOFTWARE\Policies\Microsoft\Windows\DeviceGuard,ConfigureSystemGuardLaunch,REG_DWORD,./Vendor/MSFT/Policy,Config/DeviceGuard/ConfigureSystemGuardLaunch,Integer,1,"Range(0, 2)",Equals(1),Critical,Azure Local Member Server (domain joined),Secured-Core,,SecuredCore
EnableVirtualizationBasedSecurity,202b60aa-5854-458d-a315-f394c7660df8,AZ-WIN-202245,Secured-Core Virtualization Based Security (VBS),HKLM:\SOFTWARE\Policies\Microsoft\Windows\DeviceGuard,EnableVirtualizationBasedSecurity,REG_DWORD,./Vendor/MSFT/Policy,Config/DeviceGuard/EnableVirtualizationBasedSecurity,Integer,1,"Range(0, 1)",Equals(1),Critical,Azure Local Member Server (domain joined),Secured-Core,,SecuredCore
HypervisorEnforcedCodeIntegrity,3783b34c-f774-4034-99f0-3e53874d559e,AZ-WIN-202246,Secured-Core Hypervisor-protected Code Integrity (HVCI),HKLM:\SOFTWARE\Policies\Microsoft\Windows\DeviceGuard,HypervisorEnforcedCodeIntegrity,REG_DWORD,./Vendor/MSFT/Policy,Config/VirtualizationBasedTechnology/HypervisorEnforcedCodeIntegrity,Integer,2,"Range(0, 2)","Range(1, 2)",Critical,Azure Local Member Server (domain joined),Secured-Core,,SecuredCore
AfdDisableAddressSharing,,,System Services Afd DisableAddressSharing,HKLM:\SYSTEM\CurrentControlSet\Services\Afd\Parameters,DisableAddressSharing,REG_DWORD,,,,1,"Range(0, 1)",Equals(1),Critical,Azure Local Member Server (domain joined),Security Baseline,"Get-ItemProperty ""HKLM:\SYSTEM\CurrentControlSet\Services\Afd\Parameters"" -Name ""DisableAddressSharing""",Registry
AllowAnonymousSIDOrNameTranslation,16f2e42a-e89d-43a3-b904-cb4d312a8e4a,CCE-10024-8,Network access: Allow anonymous SID/Name translation,,,,./Vendor/MSFT/Policy,Config/LocalPoliciesSecurityOptions/NetworkAccess_AllowAnonymousSIDOrNameTranslation,Integer,0,"Range(0, 1)",Equals(0),Warning,Azure Local Member Server (domain joined),Security Baseline,,Security Policy
AllowCustomSSPAPIntoLSASS,,,Allow Custom SSPs and APs to be loaded into LSASS,HKLM:\SOFTWARE\Policies\Microsoft\Windows\System,AllowCustomSSPsAPs,REG_DWORD,,,,1,"Range(0, 1)",Equals(1),Critical,Azure Local Member Server (domain joined),Security Baseline,"Get-ItemProperty ""HKLM:\SOFTWARE\Policies\Microsoft\Windows\System"" -Name ""AllowCustomSSPsAPs""",Registry
AllowedToFormatAndEjectRemovableMedia,01f87552-0d92-477a-91f6-1beb5b0c8b0e,CCE-37701-0,Devices: Allowed to format and eject removable media,HKLM:\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon,AllocateDASD,REG_SZ,./Vendor/MSFT/Policy,Config/LocalPoliciesSecurityOptions/Devices_AllowedToFormatAndEjectRemovableMedia,String,0,"Range(0, 1)","OneOf(Equals('0'), Equals(''))",Warning,Azure Local Member Server (domain joined),Security Baseline,,Security Options
